func,classification,score
-,data cleaning,0.3858333333333333
-,visualization,0.17416666666666666
-,modeling,0.15916666666666668
-,evaluation,0.10166666666666667
-,exploratory,0.08333333333333333
-,setup,0.04583333333333333
-,import,0.03666666666666667
-,communication,0.013333333333333334
:,data cleaning,0.45790251107828656
:,exploratory,0.11521418020679468
:,setup,0.11078286558345643
:,modeling,0.09896602658788774
:,evaluation,0.07680945347119646
:,visualization,0.059084194977843424
:,import,0.053175775480059084
:,export,0.01772525849335303
:,communication,0.0103397341211226
::,data cleaning,0.3469387755102041
::,import,0.12040816326530612
::,setup,0.11428571428571428
::,visualization,0.10816326530612246
::,evaluation,0.08775510204081632
::,export,0.07142857142857142
::,modeling,0.053061224489795916
::,communication,0.05102040816326531
::,exploratory,0.04693877551020408
:=,data cleaning,0.5517241379310345
:=,setup,0.1724137931034483
:=,evaluation,0.10344827586206896
:=,exploratory,0.06896551724137931
:=,import,0.06896551724137931
:=,export,0.034482758620689655
!,data cleaning,0.49146757679180886
!,setup,0.14675767918088736
!,modeling,0.09556313993174062
!,import,0.08191126279863481
!,visualization,0.08191126279863481
!,evaluation,0.04436860068259386
!,exploratory,0.03754266211604096
!,export,0.017064846416382253
!,communication,0.0034129692832764505
!=,data cleaning,0.8028169014084507
!=,exploratory,0.1056338028169014
!=,modeling,0.04225352112676056
!=,setup,0.02112676056338028
!=,import,0.014084507042253521
!=,communication,0.007042253521126761
!=,visualization,0.007042253521126761
.,data cleaning,0.41025641025641024
.,visualization,0.20512820512820512
.,exploratory,0.1282051282051282
.,modeling,0.1282051282051282
.,setup,0.07692307692307693
.,evaluation,0.05128205128205128
.libPaths,setup,1
(,data cleaning,0.4694533762057878
(,modeling,0.22990353697749197
(,setup,0.07877813504823152
(,evaluation,0.07395498392282958
(,exploratory,0.07234726688102894
(,visualization,0.03536977491961415
(,import,0.027331189710610933
(,export,0.012861736334405145
[,data cleaning,0.46411483253588515
[,exploratory,0.10868079289131921
[,modeling,0.09671907040328093
[,evaluation,0.08817498291182502
[,visualization,0.08407382091592618
[,import,0.0758714969241285
[,setup,0.054340396445659606
[,export,0.015037593984962405
[,communication,0.012987012987012988
[[,modeling,0.6534653465346535
[[,visualization,0.1429042904290429
[[,data cleaning,0.10891089108910891
[[,evaluation,0.03597359735973597
[[,exploratory,0.022112211221122113
[[,setup,0.014521452145214522
[[,export,0.00957095709570957
[[,import,0.007260726072607261
[[,communication,0.005280528052805281
{,data cleaning,0.4247787610619469
{,setup,0.19911504424778761
{,communication,0.0752212389380531
{,evaluation,0.0752212389380531
{,modeling,0.06637168141592921
{,import,0.05309734513274336
{,visualization,0.04424778761061947
{,export,0.035398230088495575
{,exploratory,0.02654867256637168
@,data cleaning,0.5897435897435898
@,import,0.10256410256410256
@,evaluation,0.08974358974358974
@,visualization,0.08974358974358974
@,modeling,0.05128205128205128
@,exploratory,0.038461538461538464
@,setup,0.02564102564102564
@,communication,0.01282051282051282
*,data cleaning,0.3283582089552239
*,modeling,0.2555970149253731
*,exploratory,0.13992537313432835
*,evaluation,0.09514925373134328
*,setup,0.06902985074626866
*,visualization,0.06529850746268656
*,export,0.020522388059701493
*,import,0.014925373134328358
*,communication,0.011194029850746268
/,data cleaning,0.3333333333333333
/,modeling,0.17054263565891473
/,evaluation,0.13953488372093023
/,exploratory,0.12144702842377261
/,visualization,0.10594315245478036
/,setup,0.10335917312661498
/,communication,0.020671834625323
/,export,0.002583979328165375
/,import,0.002583979328165375
&,data cleaning,0.6583333333333333
&,exploratory,0.09166666666666666
&,visualization,0.075
&,modeling,0.0625
&,setup,0.05416666666666667
&,evaluation,0.041666666666666664
&,import,0.016666666666666666
&&,data cleaning,0.5
&&,evaluation,0.25
&&,export,0.25
%*%,modeling,0.8409090909090909
%*%,data cleaning,0.06818181818181818
%*%,setup,0.06818181818181818
%*%,evaluation,0.022727272727272728
%/%,setup,0.75
%/%,data cleaning,0.25
%%,exploratory,0.5
%%,setup,0.5
%+%,visualization,1
%<>%,data cleaning,0.7272727272727273
%<>%,evaluation,0.18181818181818182
%<>%,import,0.06060606060606061
%<>%,setup,0.030303030303030304
%>%,data cleaning,0.5844004656577415
%>%,exploratory,0.12689173457508732
%>%,visualization,0.08440046565774156
%>%,evaluation,0.06577415599534342
%>%,modeling,0.057625145518044235
%>%,import,0.041327124563445866
%>%,setup,0.02211874272409779
%>%,export,0.012223515715948778
%>%,communication,0.005238649592549476
%$%,data cleaning,0.8
%$%,import,0.2
%do%,evaluation,0.5
%do%,setup,0.5
%dopar%,modeling,1
%in%,data cleaning,0.6380090497737556
%in%,exploratory,0.1493212669683258
%in%,evaluation,0.05429864253393665
%in%,setup,0.04524886877828054
%in%,visualization,0.04524886877828054
%in%,modeling,0.04072398190045249
%in%,import,0.02262443438914027
%in%,communication,0.004524886877828055
^,modeling,0.34210526315789475
^,evaluation,0.19736842105263158
^,data cleaning,0.18421052631578946
^,setup,0.15789473684210525
^,visualization,0.11842105263157894
+,modeling,0.45027124773960214
+,visualization,0.4332213898217515
+,data cleaning,0.06432446396280031
+,exploratory,0.015499870834409714
+,evaluation,0.014724877292689228
+,export,0.007233273056057866
+,setup,0.006974941875484371
+,communication,0.0041332988891759235
+,import,0.003616636528028933
<,data cleaning,0.38323353293413176
<,exploratory,0.2275449101796407
<,evaluation,0.15568862275449102
<,modeling,0.10778443113772455
<,visualization,0.07784431137724551
<,communication,0.023952095808383235
