package,namespace_directive,func
Rcpp,export_methods,prompt
Rcpp,export_methods,show
Rcpp,export_methods,.DollarNames
Rcpp,export_methods,initialize
Rcpp,export_methods,formals<-
Rcpp,export_classes,Module
Rcpp,export_classes,C++Field
Rcpp,export_classes,C++OverloadedMethods
Rcpp,export_classes,C++Constructor
Rcpp,export_classes,C++Class
Rcpp,export_classes,C++Object
Rcpp,export_classes,C++Function
Rcpp,export,Module
Rcpp,export,Rcpp.package.skeleton
Rcpp,export,populate
Rcpp,export,loadRcppModules
Rcpp,export,#deprecatedsinceRcpp0.12.5setRcppClass
Rcpp,export,loadRcppClass
Rcpp,export,loadModule
Rcpp,export,cppFunction
Rcpp,export,exposeClass
Rcpp,export,evalCpp
Rcpp,export,sourceCpp
Rcpp,export,compileAttributes
Rcpp,export,registerPlugin
Rcpp,export,RcppLdFlags
Rcpp,export,LdFlags
Rcpp,export,demangle
Rcpp,export,sizeof
Rcpp,export,cpp_object_initializer
Rcpp,export,cpp_object_dummy
Rcpp,export,Rcpp.plugin.maker
Rcpp,s3_methods,.DollarNames.C++Object
Rcpp,s3_methods,.DollarNames.Module
Rcpp,s3_methods,print.bytes
Rcpp,s3_methods,format.Rcpp_stack_trace
Rcpp,s3_methods,str.Rcpp_stack_trace
Rcpp,s3_methods,print.Rcpp_stack_trace
stringi,export_methods,NA
stringi,export_classes,NA
stringi,export,%s!=%
stringi,export,%s!==%
stringi,export,%s+%
stringi,export,%s<%
stringi,export,%s<=%
stringi,export,%s==%
stringi,export,%s===%
stringi,export,%s>%
stringi,export,%s>=%
stringi,export,%stri!=%
stringi,export,%stri!==%
stringi,export,%stri+%
stringi,export,%stri<%
stringi,export,%stri<=%
stringi,export,%stri==%
stringi,export,%stri===%
stringi,export,%stri>%
stringi,export,%stri>=%
stringi,export,stri_datetime_add<-
stringi,export,stri_sub<-
stringi,export,stri_subset<-
stringi,export,stri_subset_charclass<-
stringi,export,stri_subset_coll<-
stringi,export,stri_subset_fixed<-
stringi,export,stri_subset_regex<-
stringi,export,stri_c
stringi,export,stri_c_list
stringi,export,stri_cmp
stringi,export,stri_cmp_eq
stringi,export,stri_cmp_equiv
stringi,export,stri_cmp_ge
stringi,export,stri_cmp_gt
stringi,export,stri_cmp_le
stringi,export,stri_cmp_lt
stringi,export,stri_cmp_neq
stringi,export,stri_cmp_nequiv
stringi,export,stri_compare
stringi,export,stri_conv
stringi,export,stri_count
stringi,export,stri_count_boundaries
stringi,export,stri_count_charclass
stringi,export,stri_count_coll
stringi,export,stri_count_fixed
stringi,export,stri_count_regex
stringi,export,stri_count_words
stringi,export,stri_datetime_add
stringi,export,stri_datetime_create
stringi,export,stri_datetime_fields
stringi,export,stri_datetime_format
stringi,export,stri_datetime_fstr
stringi,export,stri_datetime_now
stringi,export,stri_datetime_parse
stringi,export,stri_datetime_symbols
stringi,export,stri_detect
stringi,export,stri_detect_charclass
stringi,export,stri_detect_coll
stringi,export,stri_detect_fixed
stringi,export,stri_detect_regex
stringi,export,stri_dup
stringi,export,stri_duplicated
stringi,export,stri_duplicated_any
stringi,export,stri_enc_detect
stringi,export,stri_enc_detect2
stringi,export,stri_enc_fromutf32
stringi,export,stri_enc_get
stringi,export,stri_enc_info
stringi,export,stri_enc_isascii
stringi,export,stri_enc_isutf16be
stringi,export,stri_enc_isutf16le
stringi,export,stri_enc_isutf32be
stringi,export,stri_enc_isutf32le
stringi,export,stri_enc_isutf8
stringi,export,stri_enc_list
stringi,export,stri_enc_mark
stringi,export,stri_enc_set
stringi,export,stri_enc_toascii
stringi,export,stri_enc_tonative
stringi,export,stri_enc_toutf32
stringi,export,stri_enc_toutf8
stringi,export,stri_encode
stringi,export,stri_endswith
stringi,export,stri_endswith_charclass
stringi,export,stri_endswith_coll
stringi,export,stri_endswith_fixed
stringi,export,stri_escape_unicode
stringi,export,stri_extract
stringi,export,stri_extract_all
stringi,export,stri_extract_all_boundaries
stringi,export,stri_extract_all_charclass
stringi,export,stri_extract_all_coll
stringi,export,stri_extract_all_fixed
stringi,export,stri_extract_all_regex
stringi,export,stri_extract_all_words
stringi,export,stri_extract_first
stringi,export,stri_extract_first_boundaries
stringi,export,stri_extract_first_charclass
stringi,export,stri_extract_first_coll
stringi,export,stri_extract_first_fixed
stringi,export,stri_extract_first_regex
stringi,export,stri_extract_first_words
stringi,export,stri_extract_last
stringi,export,stri_extract_last_boundaries
stringi,export,stri_extract_last_charclass
stringi,export,stri_extract_last_coll
stringi,export,stri_extract_last_fixed
stringi,export,stri_extract_last_regex
stringi,export,stri_extract_last_words
stringi,export,stri_flatten
stringi,export,stri_info
stringi,export,stri_isempty
stringi,export,stri_join
stringi,export,stri_join_list
stringi,export,stri_length
stringi,export,stri_list2matrix
stringi,export,stri_locale_get
stringi,export,stri_locale_info
stringi,export,stri_locale_list
stringi,export,stri_locale_set
stringi,export,stri_locate
stringi,export,stri_locate_all
stringi,export,stri_locate_all_boundaries
stringi,export,stri_locate_all_charclass
stringi,export,stri_locate_all_coll
stringi,export,stri_locate_all_fixed
stringi,export,stri_locate_all_regex
stringi,export,stri_locate_all_words
stringi,export,stri_locate_first
stringi,export,stri_locate_first_boundaries
stringi,export,stri_locate_first_charclass
stringi,export,stri_locate_first_coll
stringi,export,stri_locate_first_fixed
stringi,export,stri_locate_first_regex
stringi,export,stri_locate_first_words
stringi,export,stri_locate_last
stringi,export,stri_locate_last_boundaries
stringi,export,stri_locate_last_charclass
stringi,export,stri_locate_last_coll
stringi,export,stri_locate_last_fixed
stringi,export,stri_locate_last_regex
stringi,export,stri_locate_last_words
stringi,export,stri_match
stringi,export,stri_match_all
stringi,export,stri_match_all_regex
stringi,export,stri_match_first
stringi,export,stri_match_first_regex
stringi,export,stri_match_last
stringi,export,stri_match_last_regex
stringi,export,stri_na2empty
stringi,export,stri_numbytes
stringi,export,stri_opts_brkiter
stringi,export,stri_opts_collator
stringi,export,stri_opts_fixed
stringi,export,stri_opts_regex
stringi,export,stri_order
stringi,export,stri_pad
stringi,export,stri_pad_both
stringi,export,stri_pad_left
stringi,export,stri_pad_right
stringi,export,stri_paste
stringi,export,stri_paste_list
stringi,export,stri_rand_lipsum
