code,class,session,id
library(tidyverse),setup,1,1
library(tidyverse),setup,11e21,1
mtcars %>% select(mpg),setup,11e21,1
"ggplot(mtcars, aes(mpg)) + geom_histogram()",exploratory,11e21,1
rm(list = ls()),setup,11e21,1
"source(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-04-28/new_plan/FTL_cp.R"")",setup,11e21,1
"spid_remove <- read.csv(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-04-28/new_plan/input_data/remove_spid.csv"",     as.is = TRUE)",import,11e21,1
"cmplx_remove <- read.csv(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-04-28/new_plan/input_data/cmplx.csv"",     as.is = TRUE)",import,11e21,1
"mgmt_remove <- read.csv(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-04-28/new_plan/input_data/mgmt_grp.csv"",     as.is = TRUE)",import,11e21,1
"species_data <- read.csv(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-04-28/new_plan/input_data/spid.csv"",     as.is = TRUE)",import,11e21,1
"prop_tripTable <- FTL_cp(FTL, type = ""proportion"", times = 300,     spid_remove, cmplx_remove, mgmt_remove)",import,11e21,1
"save(prop_tripTable, file = paste(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-05-17/prop_tripTable_"",     Sys.Date(), "".Rdata"", sep = """"))",exploratory,11e21,1
"save(prop_tripTable, file = paste(""/Volumes/NOAA_Data/CNH/Analysis/Metiers/results/2014-05-17/prop_tripTable_"",     Sys.Date(), "".Rdata"", sep = """"))",export,11e21,1
rm(list = ls()),setup,11e21,1
"source(""analysis/analysis_ccm_summerenergy_GSL_LR04.R"")",setup,11e21,1
"source(""analysis/analysis_ccm_summerenergy_GSL_speleoice.R"")",setup,11e21,1
"source(""analysis/analysis_summarise_crossmapping_summerenergy_GSL_LR04.R"")",setup,11e21,1
"source(""analysis/analysis_summarise_crossmapping_summerenergy_GSL_LR04.R"")",setup,11e21,1
"source(""analysis/analysis_orbital_frequencies.R"")",setup,11e21,1
library(plyr),setup,11e21,1
"data <- read.table(""Analysis/Data/ZillowDataSetX"", sep = "","",     stringsAsFactors = FALSE)",import,11e21,1
"source(""Analysis/Data/ZillowAPICalls.R"")",setup,11e21,1
data$MergingCode <- data21$ZipCode,data cleaning,11e21,1
"a <- ddply(data, ~MergingCode, summarise, MeanZestimateAmount = mean(ZestimateAmount)))",data cleaning,11e21,1
"data <- merge(data, a, by = ""MergingCode"")",data cleaning,11e21,1
"data[data$ResponseCode == ""508"" | is.na(data$zpid) == TRUE ,]",data cleaning,11e21,1
